census_tract_number,pct_denied_2015,pct_own_occupied_loan_2015,median_loan_amt_2015,pct_refinancing_2015,pct_denied_2010,pct_own_occupied_loan_2010,median_loan_amt_2010,pct_refinancing_2010
8028.04,22.2972972972973,95.27027027027027,179000,54.391891891891895,22.2972972972973,95.27027027027027,179000,54.391891891891895
8028.05,21.843003412969285,94.53924914675767,162000,45.73378839590443,21.843003412969285,94.53924914675767,162000,45.73378839590443
8029.01,20.54054054054054,94.5945945945946,152000,43.78378378378379,20.54054054054054,94.5945945945946,152000,43.78378378378379
8030.01,26.08695652173913,99.1304347826087,174000,53.04347826086957,26.08695652173913,99.1304347826087,174000,53.04347826086957
8030.02,23.717948717948715,96.7948717948718,150000,64.1025641025641,23.717948717948715,96.7948717948718,150000,64.1025641025641
8031.00,17.475728155339805,95.14563106796116,166000,43.689320388349515,17.475728155339805,95.14563106796116,166000,43.689320388349515
8032.00,25.862068965517242,94.82758620689656,137000,46.55172413793103,25.862068965517242,94.82758620689656,137000,46.55172413793103
8033.00,21.232876712328768,95.8904109589041,143000,46.57534246575342,21.232876712328768,95.8904109589041,143000,46.57534246575342
8034.01,23.88059701492537,88.05970149253731,128000,49.25373134328358,23.88059701492537,88.05970149253731,128000,49.25373134328358
8034.02,27.500000000000004,86,123000,50,27.500000000000004,86,123000,50
